time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1664074800,276.47,274.64,275.75,1627.88,448853.74,276.45,direct,
1664078400,275.84,275.27,276.46,2006.26,552636.47,275.46,multiply,BTC
1664082000,275.83,274.88,275.46,2161.2,596130.81,275.83,multiply,BTC
1664085600,276.66,275.9,275.83,1746.73,482924.55,276.47,multiply,BTC
1664089200,278.11,276.39,276.48,3958.91,1098116.46,278.09,direct,
1664092800,278.81,277.63,278.09,2332.55,649109.68,278.74,direct,
1664096400,279.74,276.96,278.74,5184.54,1443455.74,276.97,direct,
1664100000,278.84,276.39,276.97,3068.08,851301.41,278.55,direct,
1664103600,278.94,277.67,278.55,2555.17,711218.36,278.34,direct,
1664107200,279.26,276.81,278.34,4689.51,1302114.88,276.88,direct,
1664110800,277.93,274.74,276.88,4923.42,1360572.07,275.11,direct,
1664114400,275.37,274.08,275.11,2760.01,758473.33,274.73,direct,
1664118000,276.44,274.7,274.73,2446.69,674709.29,275.55,direct,
1664121600,276.39,273.39,275.55,3670.04,1010364.23,274.14,direct,
1664125200,275.3,272.05,274.14,5444.54,1488425.71,275.22,direct,
1664128800,276.08,274.18,275.22,3339.85,918250.96,275.42,direct,
1664132400,276.09,274.53,275.42,2242.37,617314.99,275.04,direct,
1664136000,275.11,274.48,275.04,680.6,187058.93,274.93,direct,
1664139600,274.93,272.35,274.93,3294.12,901329.99,272.41,direct,
1664143200,274.65,271.17,272.41,9029.76,2464810.06,272.83,direct,
1664146800,274.91,272.53,272.83,4083.05,1118275.67,274.34,direct,
1664150400,276.69,273.22,274.34,8665.54,2383888.95,273.38,direct,
1664154000,275.1,272.57,273.38,4778.78,1308511.12,275.05,direct,
1664157600,276.13,272.68,275.05,6388.85,1752919.52,272.78,direct,
1664161200,274.02,272.38,272.78,2767.91,755393.65,273,direct,
1664164800,273.3,272.06,273,1635.84,445818.91,272.2,direct,
1664168400,272.41,270.86,272.2,2233.19,606631.4,272.03,direct,
1664172000,273.11,271.05,272.03,3629.09,986865.22,271.42,direct,
1664175600,274.48,271.42,271.42,6437.81,1761087.89,273.52,direct,
1664179200,276.6,273.4,273.52,5645.39,1555143.9,276.39,direct,
1664182800,276.81,273.29,276.39,6323.98,1736677.11,273.47,direct,
1664186400,275.25,273.24,273.47,2994.69,820876.45,274.04,direct,
1664190000,274.38,271.37,274.04,6074.43,1654472.37,272.53,direct,
1664193600,274.34,271.9,272.53,4782.74,1307159.34,274.24,direct,
1664197200,275.53,273.23,274.24,5180.92,1423251.68,275.27,direct,
1664200800,275.86,274.22,275.27,3395.87,932692.76,274.48,direct,
1664204400,274.81,273.35,274.48,4793.57,1313623.86,274.44,direct,
1664208000,274.44,272.24,274.44,2586.73,706107.87,273.63,direct,
1664211600,274.7,273.15,273.63,2226.08,610242.77,274.24,direct,
1664215200,275.31,273.76,274.24,2660.52,730844.03,274.75,direct,
1664218800,275.91,274.62,274.75,3822.92,1051863.27,274.88,direct,
1664222400,275.03,274.39,274.88,2194.68,602762.74,274.78,direct,
1664226000,275.02,274.18,274.78,2482.07,681930.6,274.18,direct,
1664229600,275.76,273.91,274.18,1748.59,480614.04,274.88,direct,
1664233200,276.35,274.73,274.88,1468.38,404845.98,276.24,direct,
